Participant;Group;LS1pretest;LS2pretest;LS3pretest;LS4pretest;LS1posttest;LS2posttest;LS3posttest;LS4posttest
EMME01;EMME;-3;-4;-3;-3;-3;-4;-3;-4
EMME02;EMME;3;-4;-4;-4;4;-4;-4;-4
EMME03;EMME;2;-4;-4;-4;-3;-4;3;-3
EMME06;EMME;-4;-2;-3;-3;-3;-2;2;-4
EMME08;EMME;3;-3;-3;-3;3;3;3;3
EMME10;EMME;2;-1;2;2;2;3;4;2
EMME12;EMME;-1;-3;-2;-1;4;3;3;2
EMME14;EMME;-2;-3;-3;-1;2;2;-1;4
EMME16;EMME;4;-3;2;3;4;3;4;-2
EMME18;EMME;2;-4;-3;-3;2;2;3;3
EMME20;EMME;-3;-2;-3;2;1;3;2;-2
EMME22;EMME;2;-3;-4;-3;2;-4;-4;-4
EMME24;EMME;3;-2;3;2;3;3;4;-2
EMME26;EMME;2;-4;-4;-4;-3;-4;-4;-4
EMME28;EMME;2;-3;-2;-3;3;3;3;3
EMME30;EMME;2;-3;-4;-3;-4;-4;-4;-4
EMME32;EMME;3;-4;-4;-3;3;-4;-3;-3
EMME34;EMME;2;-4;-4;-4;3;-4;-4;-4
EMME36;EMME;-3;-4;-3;-4;-3;-4;-3;-3
EMME40;EMME;-2;-4;-3;-2;-3;-3;-4;-3
EMME42;EMME;-2;-3;-4;-3;-3;-2;-4;2
EMME44;EMME;2;-4;2;-3;3;4;4;4
EMME46;EMME;-3;-4;-3;-2;-4;-4;-4;-4
EMME48;EMME;2;-3;-3;-3;2;-3;-4;-2
EMME50;EMME;2;-4;-4;-4;2;-4;-2;-3
EMME52;EMME;-3;-4;-2;-2;-2;-3;-2;-3
EMME54;EMME;-2;-3;-4;-3;2;-3;-3;-3
EMME56;EMME;-2;-4;-4;-4;-4;-4;-4;-4
EMME58;EMME;-2;-3;-4;-3;-3;-4;-4;-4
VIDEO04;VIDEO;3;-3;-3;-3;4;-4;-4;-2
VIDEO05;VIDEO;3;3;-2;-3;-3;3;-3;-3
VIDEO07;VIDEO;-4;-3;-4;-3;2;4;4;3
VIDEO09;VIDEO;2;-4;-2;-3;3;4;3;3
VIDEO11;VIDEO;3;-4;-3;3;4;4;4;-4
VIDEO13;VIDEO;-3;-4;-3;-2;1;-2;3;3
VIDEO15;VIDEO;-2;-3;-3;-2;-3;3;4;3
VIDEO17;VIDEO;-2;-4;-3;-4;-2;-3;-2;-4
VIDEO19;VIDEO;4;-4;-4;-4;4;-4;-4;-4
VIDEO21;VIDEO;-3;-4;-4;-4;-4;-4;-4;-4
VIDEO23;VIDEO;-3;-3;-4;-4;-3;-3;-3;-4
VIDEO25;VIDEO;-3;-4;-4;-4;-3;-4;-4;-4
VIDEO27;VIDEO;-3;-3;-4;3;-1;-1;-4;-4
VIDEO29;VIDEO;1;-2;-3;-3;3;-3;-2;-2
VIDEO31;VIDEO;-2;-3;-4;-3;-4;-4;-4;-4
VIDEO33;VIDEO;2;-3;-3;-3;2;-3;-4;-4
VIDEO35;VIDEO;-2;-4;3;-3;-3;-4;3;-3
VIDEO37;VIDEO;-3;-4;-4;-3;-2;-3;2;-2
VIDEO38;VIDEO;3;-4;-3;-3;-4;-4;-4;-4
VIDEO39;VIDEO;-2;-2;-3;-3;3;-3;-3;-3
VIDEO41;VIDEO;2;-3;-4;-3;3;-4;-3;3
VIDEO43;VIDEO;-4;-4;-4;-4;-4;-4;-4;-4
VIDEO45;VIDEO;-2;-3;-4;-4;-4;-3;-4;-4
VIDEO47;VIDEO;-3;-4;-3;-3;-4;-4;-4;-4
VIDEO49;VIDEO;3;-4;-3;-2;-4;-4;-4;-4
VIDEO51;VIDEO;3;-4;-3;-2;-3;-1;2;-2
VIDEO53;VIDEO;-2;-4;-3;-3;2;3;2;-1
VIDEO55;VIDEO;3;-3;-3;-3;-4;-4;-4;-4
VIDEO57;VIDEO;2;-3;-3;-1;-4;-4;2;-4
