Participant;serp;irrelevant;relevant;source_features;survey;lextale;pre;post;argumentation;smt
EMME01;21422,8;395752,6;351410,4;48959,9;4,068965517;70;-3,25;-3,5;2;2
EMME02;36523,4;213748;176465,6;27558,3;3,862068966;63,75;-2,25;-2;2;2
EMME03;132077,2;66765,1;261304,2;21036,8;3,896551724;63,75;-2,5;-1,75;2;0
EMME06;25618,7;199332,9;265847;38903,6;3,482758621;67,5;-3;-1,75;1;0
EMME08;156571,3;74059,4;377803,6;63225;3,551724138;88,75;-1,5;3;2;4
EMME10;77739,2;191099,8;283852,2;49048,1;3,448275862;70,7;1,25;2,75;5;6
EMME12;72575,6;187697,1;296881,8;33465,3;3;91,25;-1,75;3;5;9
EMME14;44992,8;316095,7;316384,3;43846;3,551724138;76,25;-2,25;1,75;5;9,5
EMME16;68426;121702,7;350093,8;29533;2,965517241;71,25;1,5;2,25;4;0
EMME18;34937,9;201195,1;295652,1;18285,7;3,344827586;60;-2;2,5;5;5
EMME20;51531,9;261346,4;255121,6;24792,1;3,103448276;71,25;-1,5;1;1;5
EMME22;42054,3;355241,3;356512,6;51273,7;3,172413793;56,25;-2;-2,5;1;4
EMME24;26516,7;131098,8;166479,3;15560,6;3;67,5;1,5;2;5;6
EMME26;30324,2;364166,2;398069,7;78715,8;3,655172414;70;-2,5;-3,75;2;5
EMME28;108905,5;204489,1;265103,3;42029,5;3,206896552;65;-1,5;3;2;10
EMME30;29099,9;141353,6;223267,5;25566,7;3,137931034;67,5;-2;-4;1;0
EMME32;78414;124914,6;196688,9;18683,2;3,379310345;60;-2;-1,75;1;4
EMME34;76039;313362,6;312754,4;34744,5;4,172413793;58,75;-2,5;-2,25;4;1
EMME36;46951,8;86653,9;148843,2;20178,9;3,137931034;73,75;-3,5;-3,25;4;2
EMME40;9330;369868,3;400764,1;38566,7;3,482758621;68,75;-2,75;-3,25;1;4
EMME42;23992,6;293295,2;269626,2;64922,3;3,965517241;75;-3;-1,75;2;3
EMME44;26814,6;154593,7;188291,5;12175,5;3,689655172;87,5;-0,75;3,75;5;1
EMME46;101859,5;245482,4;246187,8;35346,1;3,689655172;68,75;-3;-4;2;13
EMME48;65829,9;301146,4;390493,2;35982;4;55,7;-1,75;-1,75;1;2
EMME50;49431,9;63454,3;219322;26984;2,896551724;70;-2,5;-1,75;1;4
EMME52;23811,8;230047;247106,2;40197,5;2,896551724;76,25;-2,75;-2,5;5;4
EMME54;28599,4;267426,4;284157,1;49342,2;4;77,5;-3;-1,75;4;3
EMME56;62504,5;386698,9;394583,4;29590,5;3,344827586;72,5;-3,5;-4;1;2
EMME58;73615,3;247063,6;243764,2;18423;3,724137931;66,7;-3;-3,75;1;5
VIDEO04;8282,2;87229;76202,9;14647,8;3,75862069;58,75;-1,5;-1,5;1;0
VIDEO05;31179,7;264145,1;83312,2;18388;3,965517241;60;0,25;-1,5;1;3
VIDEO07;5578,3;38237,6;58830,6;19327,3;3,827586207;96,25;-3,5;3,25;6;23
VIDEO09;16765,5;130324,4;146888,9;30245,8;3,724137931;75;-1,75;3,25;6;6
VIDEO11;18728,6;166274,2;223877,8;32742,8;3,206896552;65;-0,25;2;3;1
VIDEO13;60471,8;307607,5;314239,9;45456,4;3,655172414;68,75;-3;1,25;6;7
VIDEO15;8836,4;157284;161251,6;11863,1;3,275862069;68,75;-2,5;1,75;5;7,5
VIDEO17;26217,1;269811;293783,9;38526,7;4;73,75;-3,25;-2,75;1;9
VIDEO19;24207,8;355494,8;399516,3;100757,2;4,103448276;76,25;-2;-2;2;3,5
VIDEO21;20762,6;446047,7;418283,3;51351,8;4,482758621;58,75;-3,75;-4;1;5,5
VIDEO23;18280,5;547474,1;622200,2;67998,6;3,689655172;70;-3,5;-3,25;1;0
VIDEO25;44510,1;185207,7;301518,3;29065,3;3,827586207;75;-3,75;-3,75;1;5
VIDEO27;79881,1;279678,6;380631,2;70067,5;3,551724138;76,25;-1,75;-2,5;5;11,5
VIDEO29;13501;316978,4;322361,9;17407,9;3,172413793;66,25;-1,75;-1;1;1
VIDEO31;15719,6;288282,7;347360,4;36422,8;3,689655172;60;-3;-4;1;3
VIDEO33;39552,8;463319,6;423821,8;27474,7;3,620689655;56,25;-1,75;-2,25;2;2
VIDEO35;15489,6;290826,7;372283,5;46210,5;3,551724138;63,25;-1,5;-1,75;1;6
VIDEO37;27961,3;190422,8;165725,6;27920,6;4,551724138;73,75;-3,5;-1,25;2;6
VIDEO38;13541,6;645785,6;594172,4;73006,2;3,655172414;61,25;-1,75;-4;2;7
VIDEO39;29090,1;580672,5;650275,4;95785,1;3,137931034;67,5;-2,5;-1,5;4;8
VIDEO41;129811;311028,1;387908;50230,9;3,551724138;56,25;-2;-0,25;2;0
VIDEO45;40398,6;312968,3;320574,4;62149,2;3,24137931;68,75;-3,25;-3,75;1;5,5
VIDEO47;19035,3;399103,2;594648,6;56627,1;3,413793103;58,75;-3,25;-4;1;3
VIDEO49;98982,2;487804,3;563013,5;86211,1;3,24137931;73,75;-1,5;-4;1;9
VIDEO51;61278,4;230145,2;250887,4;16789,1;2,931034483;82,5;-1,5;-1;1;5,5
VIDEO53;16150,8;318901,7;356176,7;19173,6;3,620689655;80;-3;1,5;6;4
VIDEO55;10455,4;308606,1;285552,9;21804,2;3,310344828;66,25;-1,5;-4;2;2
VIDEO57;12874,4;270357,2;302525,3;56973,2;3,448275862;71,25;-1,25;-2,5;1;6,5
