Participant;reliable_per_word;nonreliable_per_word;source_features_per_word;argumentationNew;smt;lextale;survey;pre;post;group;log_serp;position;position_bin
EMME01;239,4418263;289,3439156;272,7241667;3;2;70;4,068965517;-3,25;-3,5;EMME;4,411392702;endorsing;0
EMME02;125,9487856;157,3150648;218,3266667;3;2;63,75;3,862068966;-2,25;-2;EMME;4,917339679;endorsing;0
EMME03;185,5749408;55,48902104;150,6333333;3;0;63,75;3,896551724;-2,5;-1,75;EMME;6,197968275;contrary;1
EMME06;193,3428301;161,0273639;73,59333333;1;0;67,5;3,482758621;-3;-1,75;EMME;4,565875994;unclear;
EMME08;250,1755016;64,23133949;257,955;2;4;88,75;3,551724138;-1,5;3;EMME;6,37326852;contrary;1
EMME10;205,0523416;152,7083934;471,255;6;6;70,7;3,448275862;1,25;2,75;EMME;5,659837314;contrary;1
EMME12;215,2524729;148,38882;239,875;5;9;91,25;3;-1,75;3;EMME;5,660633024;contrary;1
EMME14;216,6026549;249,1314723;320,4983333;5;9,5;76,25;3,551724138;-2,25;1,75;EMME;5,141648497;contrary;1
EMME16;233,4368868;99,9267089;244,3033333;3;0;71,25;2,965517241;1,5;2,25;EMME;5,563920027;contrary;1
EMME18;194,9634648;146,3762999;173,7633333;5;5;60;3,344827586;-2;2,5;EMME;4,847873972;contrary;1
EMME20;177,4066279;185,636294;115,9225;1;5;71,25;3,103448276;-1,5;1;EMME;5,246194725;unclear;
EMME22;240,8005668;262,9424026;298,7733333;1;4;56,25;3,172413793;-2;-2,5;EMME;5,070813464;endorsing;0
EMME24;123,5859323;105,7586635;189,67;5;6;67,5;3;1,5;2;EMME;4,638744002;endorsing;0
EMME26;278,5408726;271,8178506;306,555;2;5;70;3,655172414;-2,5;-3,75;EMME;4,725323324;endorsing;0
EMME28;180,834157;164,7511334;171,6166667;2;10;65;3,206896552;-1,5;3;EMME;6,014516539;unclear;
EMME30;156,5362485;116,2407904;84,1425;1;0;67,5;3,137931034;-2;-4;EMME;4,725342354;endorsing;0
EMME32;229,7941822;142,6783271;104,7825;1;4;60;3,379310345;-2;-1,75;EMME;5,676428921;unsettled;
EMME34;203,9598047;232,5798157;153,6083333;4;1;58,75;4,172413793;-2,5;-2,25;EMME;5,650448096;endorsing;0
