Participant;AOI;EventDuration
EMME01;googleP6;106,5
EMME01;googleP6;232
EMME01;googleP6;320,7
EMME01;googleP6;243,4
EMME01;googleP6;206,3
EMME01;googleP6;233,3
EMME01;googleP6;248,5
EMME01;googleP6;385,2
EMME01;googleP6;0
EMME01;googleP6;127,4
EMME01;googleP6;199
EMME01;googleP6;84,7
EMME01;googleP6;440
EMME01;googleP6;115,5
EMME01;googleP6;104
EMME01;googleP6;607,3
EMME01;googleP6;184
EMME02;googleP6;102
EMME02;googleP6;397
EMME02;googleP6;260,5
EMME02;googleP6;305,2
EMME02;googleP6;514,3
EMME02;googleP6;368,3
EMME02;googleP6;102,4
EMME02;googleP6;295,9
EMME02;googleP6;511,1
EMME02;googleP6;323
EMME02;googleP6;107,9
EMME02;googleP6;608
EMME02;googleP6;224,6
EMME02;googleP6;0
EMME02;googleP6;162,8
EMME03;googleP6;419,7
EMME03;googleP6;980,4
EMME03;googleP6;387,1
EMME03;googleP6;104
EMME03;googleP6;200
EMME03;googleP6;192
EMME03;googleP6;143,3
EMME03;googleP6;142,8
EMME03;googleP6;496,3
EMME03;googleP6;273,1
EMME03;googleP6;187,6
EMME03;googleP6;253,4
EMME03;googleP6;376,1
EMME03;googleP6;150,1
EMME03;googleP6;155,7
EMME03;googleP6;158,7
EMME03;googleP6;101
EMME03;googleP6;396,4
EMME03;googleP6;208
EMME03;googleP6;536,1
EMME03;googleP6;220
EMME03;googleP6;296
EMME03;googleP6;261,1
EMME03;googleP6;242,2
EMME03;googleP6;136
EMME03;googleP6;480,8
EMME03;googleP6;335,5
EMME03;googleP6;413,8
EMME03;googleP6;88,8
EMME03;googleP6;184
EMME03;googleP6;442,6
EMME03;googleP6;100
EMME03;googleP6;335
EMME03;googleP6;188
EMME03;googleP6;208
EMME03;googleP6;223,8
EMME03;googleP6;138,7
EMME03;googleP6;293,7
EMME03;googleP6;390,4
EMME03;googleP6;145,3
EMME03;googleP6;0
EMME03;googleP6;141,8
EMME03;googleP6;127,9
EMME03;googleP6;96
EMME03;googleP6;132,2
EMME03;googleP6;137,3
EMME03;googleP6;172,5
EMME03;googleP6;223,9
EMME03;googleP6;92,5
EMME03;googleP6;256
EMME03;googleP6;203,9
EMME03;googleP6;100
EMME03;googleP6;173
EMME03;googleP6;179,8
EMME03;googleP6;1091,8
EMME03;googleP6;92
EMME06;googleP6;591,7
EMME06;googleP6;83,9
EMME06;googleP6;116,1
EMME06;googleP6;230,5
EMME06;googleP6;335,1
EMME06;googleP6;0
EMME06;googleP6;115,9
EMME06;googleP6;172,1
EMME06;googleP6;134,9
EMME06;googleP6;117,5
EMME06;googleP6;313,7
EMME06;googleP6;128
EMME06;googleP6;220
EMME06;googleP6;91,9
EMME06;googleP6;113,9
EMME08;googleP6;508,5
EMME08;googleP6;139
EMME08;googleP6;243,9
EMME08;googleP6;173,7
EMME08;googleP6;535,3
EMME08;googleP6;117,2
EMME08;googleP6;2303,7
EMME08;googleP6;183,6
EMME08;googleP6;116,6
EMME08;googleP6;86,1
EMME08;googleP6;135,4
EMME08;googleP6;131,4
EMME08;googleP6;244,7
EMME08;googleP6;476
EMME08;googleP6;192,6
EMME08;googleP6;516
EMME08;googleP6;240
EMME08;googleP6;130,4
EMME08;googleP6;80,9
EMME08;googleP6;125,7
EMME08;googleP6;399,2
EMME08;googleP6;566,3
EMME08;googleP6;370,7
EMME08;googleP6;274
EMME08;googleP6;374
EMME08;googleP6;995,9
EMME08;googleP6;404
EMME08;googleP6;191,9
EMME08;googleP6;1047,1
EMME08;googleP6;169,5
EMME08;googleP6;154,8
EMME08;googleP6;153,5
EMME08;googleP6;120
EMME08;googleP6;230,7
EMME08;googleP6;255,6
EMME08;googleP6;375
EMME08;googleP6;197,2
EMME08;googleP6;287,8
EMME08;googleP6;103,4
EMME08;googleP6;108
EMME08;googleP6;288,7
EMME08;googleP6;119,1
EMME08;googleP6;239,1
EMME08;googleP6;88,4
EMME08;googleP6;132
EMME08;googleP6;227,6
EMME08;googleP6;103,5
EMME08;googleP6;143,9
EMME08;googleP6;215,8
EMME08;googleP6;242,1
EMME08;googleP6;100,6
EMME08;googleP6;232,6
EMME08;googleP6;689,3
EMME08;googleP6;179,9
EMME08;googleP6;309,8
EMME08;googleP6;183,3
EMME08;googleP6;188
EMME08;googleP6;163,2
EMME08;googleP6;128,1
EMME08;googleP6;572,3
EMME08;googleP6;452,5
EMME08;googleP6;204,6
